Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Bmi_Category,dutration_min,calories_per_min,workout_intensity
49,Male,82.1,1.86,162,160,64,1.87,1481,Strength,14.2,3.5,4,3,23.73,Normal,112.2,13.19964349,High
24,Female,58.9,1.76,189,130,73,0.63,410,HIIT,30.1,1.7,3,1,19.01,Normal,37.8,10.84656085,Medium
58,Male,82.2,1.87,171,143,55,1.57,1111,HIIT,10.7,3.5,4,3,23.51,Normal,94.2,11.7940552,High
50,Male,96.7,1.72,188,125,62,1.46,903,Strength,25.7,2.7,3,2,32.69,Overweight,87.6,10.30821918,High
57,Male,81.4,1.86,162,145,70,1.8,1292,Cardio,12,3.5,5,3,23.53,Normal,108,11.96296296,High
56,Male,107.8,1.73,185,126,50,1.09,680,Yoga,26.6,2.8,3,2,36.02,Overweight,65.4,10.39755352,High
35,Female,65.8,1.62,189,158,69,1,790,Cardio,33.8,1.5,4,2,25.07,Obese,60,13.16666667,Medium
57,Female,68.5,1.56,168,138,68,1.45,900,HIIT,29.1,1.6,4,2,28.15,Obese,87,10.34482759,High
18,Female,63.9,1.59,185,125,50,1.87,1169,Strength,16.4,2.7,4,3,25.28,Obese,112.2,10.41889483,High
28,Male,76.3,1.62,161,162,70,1.16,1034,Strength,20.1,2.3,3,2,29.07,Obese,69.6,14.85632184,High
45,Female,44.5,1.65,162,148,71,1.44,959,Yoga,30.7,1.6,3,1,16.35,Underweight,86.4,11.09953704,High
42,Female,50.7,1.75,163,162,51,1.29,940,Strength,29,1.9,3,2,16.56,Underweight,77.4,12.14470284,High
40,Female,55.1,1.61,184,158,64,1.55,1224,Yoga,16.9,2.7,4,3,21.26,Normal,93,13.16129032,High
48,Male,73.7,1.61,172,121,63,1.36,815,Cardio,21.8,3.6,4,2,28.43,Obese,81.6,9.987745098,High
47,Male,55.6,1.77,198,138,68,1.2,820,Cardio,24.3,2.9,4,2,17.75,Underweight,72,11.38888889,High
59,Male,86.9,1.76,194,123,60,1.13,688,Strength,29.8,3.1,3,2,28.05,Obese,67.8,10.14749263,High
52,Female,60.3,1.68,182,125,64,1.6,900,Strength,16.5,2.7,4,3,21.36,Normal,96,9.375,High
24,Female,40.4,1.64,168,168,55,0.99,832,HIIT,31,1.9,2,1,15.02,Underweight,59.4,14.00673401,Medium
33,Female,78.5,1.66,161,156,69,1.29,1006,HIIT,32.8,1.9,4,2,28.49,Obese,77.4,12.99741602,High
43,Male,102.6,1.72,190,147,58,0.82,597,Strength,27.5,2,2,1,34.68,Overweight,49.2,12.13414634,Medium
19,Male,110.8,1.91,161,149,54,1.31,1074,Strength,23.3,2.9,2,1,30.37,Overweight,78.6,13.66412214,High
18,Female,60.9,1.79,191,126,69,1.11,699,Cardio,31.1,2.1,2,1,19.01,Normal,66.6,10.4954955,High
29,Male,55.7,1.61,177,128,51,1.41,993,Strength,28.7,2.3,3,1,21.49,Normal,84.6,11.73758865,High
22,Male,110.5,1.92,172,144,55,1.16,919,HIIT,20.2,3.3,3,2,29.98,Obese,69.6,13.20402299,High
54,Male,55.2,1.71,164,152,67,0.77,579,Cardio,24.4,2.8,2,1,18.88,Normal,46.2,12.53246753,Medium
49,Male,46.5,1.72,169,120,72,1.4,832,Yoga,22.2,2.6,4,2,15.72,Underweight,84,9.904761905,High
26,Female,70.9,1.66,184,125,68,0.81,506,HIIT,28.9,1.7,3,1,25.73,Obese,48.6,10.41152263,Medium
58,Male,74.6,1.75,193,137,58,1.09,739,HIIT,24.2,2.9,2,1,24.36,Normal,65.4,11.29969419,High
52,Male,45.1,1.72,196,129,70,0.93,594,Cardio,27.5,3.3,2,1,15.24,Underweight,55.8,10.64516129,Medium
36,Male,99.9,1.99,189,147,73,1.33,1075,Yoga,20.9,2.5,3,1,25.23,Obese,79.8,13.47117794,High
33,Male,117,1.61,166,130,55,1.04,744,HIIT,25.1,2.4,3,2,45.14,Overweight,62.4,11.92307692,High
20,Female,75.9,1.73,165,152,63,1.39,1056,Strength,30.6,2.1,4,2,25.36,Obese,83.4,12.6618705,High
37,Female,71.2,1.64,162,120,73,1.11,666,HIIT,29.9,1.7,3,2,26.47,Obese,66.6,10,High
41,Male,78.8,1.72,172,132,62,1.01,660,Cardio,27.3,3.1,4,2,26.64,Obese,60.6,10.89108911,High
50,Male,50.6,1.69,162,156,60,1.31,1012,Cardio,23.8,3,2,1,17.72,Underweight,78.6,12.87531807,High
41,Male,82.5,1.79,185,139,61,1.69,1163,Cardio,14.7,3.5,4,3,25.75,Obese,101.4,11.46942801,High
28,Male,108.5,1.79,183,120,68,1.33,878,HIIT,24.8,2.1,4,2,33.86,Overweight,79.8,11.00250627,High
25,Male,49.9,1.98,165,122,68,1.15,772,Yoga,25.7,2.1,3,2,12.73,Underweight,69,11.1884058,High
53,Male,125.1,1.91,171,137,70,0.52,353,Strength,28.3,3.1,2,1,34.29,Overweight,31.2,11.31410256,Medium
55,Female,79.7,1.66,195,160,68,1.06,763,Cardio,27.8,1.9,2,1,28.92,Obese,63.6,11.99685535,High
57,Male,126.8,1.63,161,133,73,0.96,632,Yoga,20.8,2.1,2,1,47.72,Overweight,57.6,10.97222222,Medium
37,Female,54.6,1.57,170,150,62,1.31,982,Strength,32.1,2.4,3,1,22.15,Normal,78.6,12.49363868,High
52,Female,47.8,1.54,198,146,63,1.34,880,Cardio,29.8,1.9,3,2,20.16,Normal,80.4,10.94527363,High
42,Male,97.9,1.91,193,136,73,1.01,680,Strength,29,2.8,3,2,26.84,Obese,60.6,11.22112211,High
52,Female,63.1,1.54,185,165,67,1.36,1010,Strength,34.8,1.8,3,2,26.61,Obese,81.6,12.37745098,High
42,Female,72.4,1.69,177,148,61,1.07,713,Yoga,29,2.3,3,2,25.35,Obese,64.2,11.105919,High
46,Female,58.9,1.7,180,155,53,1.52,1060,Strength,17.1,2.7,4,3,20.38,Normal,91.2,11.62280702,High
35,Female,50.4,1.6,195,156,59,1.03,803,Cardio,29.1,1.9,4,2,19.69,Normal,61.8,12.99352751,High
35,Female,64.2,1.59,199,145,66,1.63,1182,Yoga,16.6,2.7,5,3,25.39,Obese,97.8,12.08588957,High
19,Female,58.8,1.77,181,136,53,1.4,952,HIIT,32.8,2.7,2,1,18.77,Normal,84,11.33333333,High
52,Male,105.2,1.62,189,141,61,1.36,949,HIIT,27.6,3.2,3,1,40.09,Overweight,81.6,11.62990196,High
33,Female,45.9,1.5,189,144,62,0.92,662,Yoga,29.8,1.7,3,1,20.4,Normal,55.2,11.99275362,Medium
58,Female,65.2,1.63,167,121,53,1.12,610,HIIT,25.4,2,3,2,24.54,Normal,67.2,9.077380952,High
53,Female,56.3,1.79,193,141,59,1.52,964,Strength,16.5,2.7,5,3,17.57,Underweight,91.2,10.57017544,High
50,Male,90,1.7,168,124,74,0.81,497,Cardio,22.9,2.7,2,1,31.14,Overweight,48.6,10.22633745,Medium
21,Female,60,1.7,179,123,52,1.97,1212,Strength,19.1,2.7,5,3,20.76,Normal,118.2,10.25380711,High
50,Male,51.5,1.71,199,155,64,1.48,1136,Yoga,20.9,2.9,2,1,17.61,Underweight,88.8,12.79279279,High
31,Female,63.1,1.64,184,125,51,1.54,962,Cardio,19,2.7,4,3,23.46,Normal,92.4,10.41125541,High
38,Male,91.5,1.77,178,140,74,0.8,616,Yoga,26.7,3.4,2,1,29.21,Obese,48,12.83333333,Medium
37,Male,48.7,1.67,164,132,74,1.39,1009,Yoga,27.3,3,2,1,17.46,Underweight,83.4,12.09832134,High
25,Female,57.8,1.56,170,156,66,1.35,1053,Yoga,29.3,1.6,3,2,23.75,Normal,81,13,High
24,Female,42,1.75,174,144,55,0.83,598,Strength,31.8,2.3,3,1,13.71,Underweight,49.8,12.00803213,Medium
20,Male,128.4,1.92,167,145,57,0.63,502,Cardio,26.1,2,2,1,34.83,Overweight,37.8,13.28042328,Medium
34,Female,74.2,1.57,178,158,52,1.47,1161,Cardio,32.7,2.4,3,1,30.1,Overweight,88.2,13.16326531,High
50,Male,89.6,1.68,182,139,74,1.79,1232,Cardio,12.2,3.5,5,3,31.75,Overweight,107.4,11.47113594,High
29,Male,125.9,2,186,152,67,1.36,1137,Strength,24.7,3.1,4,2,31.48,Overweight,81.6,13.93382353,High
39,Male,105.5,1.99,199,133,71,0.81,593,HIIT,26.4,2.5,2,1,26.64,Obese,48.6,12.20164609,Medium
39,Male,93.4,1.7,191,155,50,1.1,938,Strength,21.1,2.5,4,2,32.32,Overweight,66,14.21212121,High
47,Male,82.1,1.84,185,136,65,1.37,922,Strength,24.4,3.4,4,2,24.25,Normal,82.2,11.21654501,High
55,Female,42.9,1.69,186,140,56,0.9,567,Yoga,34.7,2.4,2,1,15.02,Underweight,54,10.5,Medium
55,Male,128.4,1.68,178,165,52,1.13,923,Cardio,20.4,2.6,4,2,45.49,Overweight,67.8,13.61356932,High
25,Male,112.4,1.96,188,135,72,1.42,1054,Cardio,23.2,2.5,2,1,29.26,Obese,85.2,12.37089202,High
44,Female,77.7,1.79,198,165,53,1.41,1047,HIIT,28.1,2.2,3,1,24.25,Normal,84.6,12.37588652,High
44,Male,89.3,1.99,192,135,58,1.4,936,HIIT,26.3,2,4,2,22.55,Normal,84,11.14285714,High
51,Female,70.3,1.55,178,139,54,1.4,876,Yoga,26.1,1.6,3,1,29.26,Obese,84,10.42857143,High
38,Female,59.1,1.72,196,148,68,1.07,792,Cardio,31.3,1.7,3,2,19.98,Normal,64.2,12.3364486,High
47,Female,49.9,1.69,178,147,64,1.48,979,HIIT,26,1.7,3,2,17.47,Underweight,88.8,11.02477477,High
50,Male,101.7,1.67,192,127,57,0.53,333,HIIT,20.9,2.9,2,1,36.47,Overweight,31.8,10.47169811,Medium
45,Male,93,1.91,175,143,55,1.03,729,Cardio,27.3,3.7,3,2,25.49,Obese,61.8,11.7961165,High
50,Male,87.4,1.6,182,122,67,0.77,465,Strength,23.2,3.1,2,1,34.14,Overweight,46.2,10.06493506,Medium
22,Female,55.1,1.61,166,144,68,1.62,1166,HIIT,19.9,2.7,4,3,21.26,Normal,97.2,11.99588477,High
36,Male,123.7,1.69,185,138,73,1.3,987,Cardio,20.4,2.1,4,2,43.31,Overweight,78,12.65384615,High
21,Female,61.3,1.57,191,152,64,1.94,1474,HIIT,17.2,2.7,4,3,24.87,Normal,116.4,12.66323024,High
52,Male,72.3,1.94,171,121,56,1.46,874,Yoga,21.1,2.9,3,2,19.21,Normal,87.6,9.97716895,High
34,Female,69.2,1.53,167,134,59,1.36,911,HIIT,28.5,2.1,2,1,29.56,Obese,81.6,11.16421569,High
45,Male,81.4,1.61,164,141,55,1.14,796,Cardio,30,2.2,4,2,31.4,Overweight,68.4,11.6374269,High
47,Male,84.8,1.86,187,129,63,1.85,1181,HIIT,14.4,3.5,5,3,24.51,Normal,111,10.63963964,High
46,Male,55.1,1.72,164,137,66,1.43,970,Yoga,20.5,3.6,3,2,18.62,Normal,85.8,11.30536131,High
23,Female,59,1.78,185,141,58,1.67,1177,Yoga,17.8,2.7,5,3,18.62,Normal,100.2,11.74650699,High
52,Female,64.9,1.51,164,165,68,1.83,1359,HIIT,18.2,2.7,4,3,28.46,Obese,109.8,12.37704918,High
58,Male,109.7,1.75,181,168,54,1.01,840,HIIT,22.1,2.7,2,1,35.82,Overweight,60.6,13.86138614,High
54,Male,78.4,1.9,174,146,72,0.81,585,Yoga,21.5,3.7,2,1,21.72,Normal,48.6,12.03703704,Medium
41,Female,76.7,1.79,172,132,56,1.4,832,Yoga,34,2,4,2,23.94,Normal,84,9.904761905,High
46,Female,63.1,1.61,187,152,68,1,684,Strength,34.7,2.2,4,2,24.34,Normal,60,11.4,Medium
48,Female,62.9,1.58,192,124,69,1.98,1105,Strength,20,2.7,4,3,25.2,Obese,118.8,9.301346801,High
52,Male,85.6,1.74,182,145,56,1.84,1321,Yoga,13.9,3.5,4,3,28.27,Obese,110.4,11.96557971,High
50,Female,66.3,1.57,192,132,73,1.25,742,HIIT,31.6,1.6,2,1,26.9,Obese,75,9.893333333,High
38,Male,61.3,1.97,177,146,51,1.37,1100,Cardio,23.5,2.8,3,1,15.8,Underweight,82.2,13.38199513,High
49,Female,44.1,1.65,189,133,74,1.16,694,HIIT,26.7,1.8,4,2,16.2,Underweight,69.6,9.971264368,High
40,Male,63.8,1.62,185,143,72,1.3,1022,HIIT,20.8,3.4,2,1,24.31,Normal,78,13.1025641,High
50,Female,55.4,1.55,175,122,65,1.85,1016,Strength,18.5,2.7,4,3,23.06,Normal,111,9.153153153,High
20,Female,74.7,1.58,172,166,62,1.04,863,Strength,32.8,2.4,3,2,29.92,Obese,62.4,13.83012821,High
35,Female,78,1.67,198,168,57,1.13,949,Strength,33.3,2.5,4,2,27.97,Obese,67.8,13.99705015,High
42,Female,57.5,1.67,192,149,55,1.14,764,Yoga,34.1,2.4,2,1,20.62,Normal,68.4,11.16959064,High
59,Female,60.7,1.73,185,154,55,1.03,714,Yoga,33.8,2.5,3,2,20.28,Normal,61.8,11.55339806,High
48,Male,69,1.74,160,167,58,1.48,1223,HIIT,30,2.3,3,2,22.79,Normal,88.8,13.77252252,High
20,Female,75.8,1.78,197,133,53,1.42,944,HIIT,27.4,2,4,2,23.92,Normal,85.2,11.07981221,High
57,Female,75.7,1.63,161,131,60,0.69,407,Cardio,32.6,2.3,3,1,28.49,Obese,41.4,9.830917874,Medium
41,Female,71.2,1.64,165,147,54,1.42,939,HIIT,30.9,2.3,3,2,26.47,Obese,85.2,11.02112676,High
49,Male,85,1.68,197,163,74,1.82,1468,HIIT,11.3,3.5,4,3,30.12,Overweight,109.2,13.44322344,High
39,Female,63.6,1.56,183,148,66,1.22,903,Strength,34.8,2.4,2,1,26.13,Obese,73.2,12.33606557,High
40,Male,73.2,1.94,177,162,69,0.81,722,Strength,29,2.4,2,1,19.45,Normal,48.6,14.85596708,Medium
19,Female,48.3,1.52,186,136,56,0.96,653,Strength,26.3,1.6,2,1,20.91,Normal,57.6,11.33680556,Medium
44,Female,42.8,1.78,167,159,64,1.49,1066,Strength,25.3,2.6,3,2,13.51,Underweight,89.4,11.92393736,High
59,Male,88.1,1.76,187,168,74,1.35,1123,Strength,26.9,3,3,2,28.44,Obese,81,13.86419753,High
19,Female,72.4,1.75,169,140,64,1.2,840,Cardio,31,1.7,4,2,23.64,Normal,72,11.66666667,High
43,Male,73.2,1.88,176,142,63,1.17,822,Cardio,29.4,3.3,3,1,20.71,Normal,70.2,11.70940171,High
34,Male,110.5,1.86,188,139,62,1.42,1086,Cardio,22.3,3.6,2,1,31.94,Overweight,85.2,12.74647887,High
57,Female,46.1,1.76,165,130,60,1.44,842,Strength,25.8,1.7,3,2,14.88,Underweight,86.4,9.74537037,High
50,Male,90.8,1.71,173,153,62,1.07,810,Yoga,22.6,3.4,4,2,31.05,Overweight,64.2,12.61682243,High
26,Female,59.3,1.51,181,129,71,1.7,1096,Strength,15.1,2.7,5,3,26.01,Obese,102,10.74509804,High
56,Female,45.1,1.73,165,129,73,0.83,482,Strength,25.4,2.6,3,1,15.07,Underweight,49.8,9.678714859,Medium
46,Male,45,1.77,185,162,58,1.48,1187,Cardio,29.1,3.6,3,2,14.36,Underweight,88.8,13.36711712,High
59,Male,89.4,1.62,198,125,59,1.43,885,Strength,23.5,3.6,3,2,34.06,Overweight,85.8,10.31468531,High
43,Male,127.7,1.69,171,155,53,1.14,875,Cardio,24.1,2.9,3,2,44.71,Overweight,68.4,12.79239766,High
52,Male,70.9,1.72,194,143,66,1.31,927,Strength,20.2,2.6,3,2,23.97,Normal,78.6,11.79389313,High
42,Female,49.2,1.5,173,131,63,1.15,678,HIIT,27.7,1.5,3,2,21.87,Normal,69,9.826086957,High
41,Female,62.3,1.79,181,162,73,1.99,1451,Yoga,19,2.7,5,3,19.44,Normal,119.4,12.15242881,High
30,Male,64.1,1.87,182,142,67,0.64,500,Yoga,26.2,2.1,2,1,18.33,Underweight,38.4,13.02083333,Medium
24,Female,69.7,1.75,166,146,60,1.41,1029,Cardio,32.5,2,3,1,22.76,Normal,84.6,12.16312057,High
53,Female,56.9,1.59,199,164,65,1.49,1100,HIIT,29.5,2,3,2,22.51,Normal,89.4,12.30425056,High
37,Female,53,1.71,184,156,50,1.13,881,Yoga,28.1,1.7,4,2,18.13,Underweight,67.8,12.99410029,High
18,Female,72.7,1.55,172,125,56,0.84,525,Cardio,29.8,2,3,1,30.26,Overweight,50.4,10.41666667,Medium
25,Male,76.5,1.96,180,120,59,0.67,442,Strength,23.2,2.3,3,1,19.91,Normal,40.2,10.99502488,Medium
33,Male,113.6,1.99,169,125,58,1.38,949,Strength,28.4,3.4,2,1,28.69,Obese,82.8,11.46135266,High
31,Female,62.5,1.62,168,169,74,1.56,1318,HIIT,16.5,2.7,4,3,23.81,Normal,93.6,14.08119658,High
29,Male,95.2,1.86,174,141,52,0.64,496,Yoga,26.6,2.5,2,1,27.52,Obese,38.4,12.91666667,Medium
40,Male,51.7,1.82,161,160,71,0.9,792,Strength,21.4,3,3,1,15.61,Underweight,54,14.66666667,Medium
32,Male,105.3,1.67,184,143,72,0.57,448,Cardio,26.9,2.9,3,1,37.76,Overweight,34.2,13.0994152,Medium
45,Female,71.2,1.68,172,144,63,1.37,888,Strength,34.1,1.6,3,1,25.23,Obese,82.2,10.80291971,High
51,Female,78.1,1.51,193,134,74,0.92,555,Strength,31.1,2.6,3,1,34.25,Overweight,55.2,10.05434783,Medium
19,Female,50.6,1.68,193,145,64,1.21,877,Yoga,30.6,2.1,3,2,17.93,Underweight,72.6,12.07988981,High
49,Male,70.2,1.89,194,127,51,0.7,440,Yoga,29.6,2.6,3,1,19.65,Normal,42,10.47619048,Medium
40,Female,62.6,1.53,197,143,73,1.93,1380,Cardio,18.1,2.7,5,3,26.74,Obese,115.8,11.91709845,High
39,Female,60.6,1.65,162,167,63,0.92,768,HIIT,27.6,1.7,3,1,22.26,Normal,55.2,13.91304348,Medium
42,Male,76.4,1.97,165,157,65,1.14,886,HIIT,22.9,2.6,3,2,19.69,Normal,68.4,12.95321637,High
39,Female,63.3,1.71,178,125,56,1.88,1175,Strength,18.5,2.7,4,3,21.65,Normal,112.8,10.41666667,High
39,Female,68.6,1.64,162,154,53,1.33,1024,Cardio,32.4,1.5,3,2,25.51,Obese,79.8,12.8320802,High
59,Male,123.3,1.88,177,161,67,1.3,1036,HIIT,23,2.6,4,2,34.89,Overweight,78,13.28205128,High
23,Male,107,1.94,198,120,73,1.35,891,HIIT,23.5,2.9,2,1,28.43,Obese,81,11,High
32,Male,68.3,1.92,168,165,54,1.42,1289,Strength,29.9,3.5,2,1,18.53,Normal,85.2,15.12910798,High
54,Female,47.8,1.6,171,155,55,1.19,830,Cardio,26,2.3,4,2,18.67,Normal,71.4,11.62464986,High
50,Female,58.4,1.79,164,131,56,1.6,943,HIIT,17,2.7,4,3,18.23,Underweight,96,9.822916667,High
25,Female,74.3,1.71,162,157,64,1.43,1123,Yoga,25.6,1.6,3,2,25.41,Obese,85.8,13.08857809,High
22,Male,106.8,1.82,170,130,50,1,715,Yoga,28.2,2.3,4,2,32.24,Overweight,60,11.91666667,Medium
56,Male,125.5,1.8,189,131,73,1.26,817,Strength,20.9,2.7,4,2,38.73,Overweight,75.6,10.80687831,High
21,Female,55.2,1.55,163,161,53,1.37,1103,Strength,31.7,1.7,4,2,22.98,Normal,82.2,13.41849148,High
23,Female,71.4,1.72,164,169,74,1.25,1056,Strength,25.6,1.5,2,1,24.13,Normal,75,14.08,High
49,Male,77.7,1.61,160,158,50,1.03,806,Strength,26.7,3.4,3,2,29.98,Obese,61.8,13.0420712,High
47,Male,88.4,1.6,186,126,60,1.86,1160,HIIT,14.2,3.5,5,3,34.53,Overweight,111.6,10.39426523,High
52,Male,104.8,1.99,187,130,67,0.93,598,Cardio,24,2,2,1,26.46,Obese,55.8,10.71684588,Medium
57,Male,82.2,1.69,188,155,63,1.15,882,Strength,25.2,3.4,4,2,28.78,Obese,69,12.7826087,High
33,Female,68.2,1.75,177,150,71,0.85,638,Strength,29,1.7,2,1,22.27,Normal,51,12.50980392,Medium
30,Male,91.4,1.99,171,152,60,1.37,1145,HIIT,23,3.7,3,2,23.08,Normal,82.2,13.92944039,High
59,Female,42.1,1.65,172,132,59,1.22,725,Strength,33,2.2,2,1,15.46,Underweight,73.2,9.904371585,High
47,Female,68.7,1.76,161,137,66,1.37,845,Strength,27.7,2.4,3,2,22.18,Normal,82.2,10.27980535,High
36,Female,47.2,1.74,196,160,53,1.5,1200,Cardio,32.2,1.6,4,2,15.59,Underweight,90,13.33333333,High
34,Male,92,1.76,175,143,73,0.73,574,Yoga,22.1,3.5,3,1,29.7,Obese,43.8,13.10502283,Medium
36,Male,56.2,1.95,183,128,64,1.09,767,Strength,22.5,3.4,4,2,14.78,Underweight,65.4,11.72782875,High
45,Male,58.4,1.72,194,150,65,1.31,973,HIIT,23.4,3.1,4,2,19.74,Normal,78.6,12.37913486,High
43,Male,82.9,1.95,181,160,70,1.9,1505,Cardio,12.9,3.5,5,3,21.8,Normal,114,13.20175439,High
54,Female,66.9,1.74,195,129,62,1.24,720,HIIT,29.5,2.1,2,1,22.1,Normal,74.4,9.677419355,High
43,Male,66.3,1.85,170,121,58,1.18,707,Cardio,27.5,3.2,2,1,19.37,Normal,70.8,9.985875706,High
40,Male,93.6,1.93,188,157,60,1.38,1192,Cardio,22.1,2,3,1,25.13,Obese,82.8,14.39613527,High
26,Female,64.1,1.5,194,134,60,1.93,1293,Strength,15.1,2.7,5,3,28.49,Obese,115.8,11.16580311,High
29,Male,86.7,1.62,174,122,55,1.52,1020,Strength,13.9,3.5,4,3,33.04,Overweight,91.2,11.18421053,High
18,Female,62,1.59,190,162,50,1.23,996,Strength,33.2,2.2,4,2,24.52,Normal,73.8,13.49593496,High
18,Female,58.1,1.61,175,150,71,1.9,1425,Yoga,15.3,2.7,4,3,22.41,Normal,114,12.5,High
51,Female,64.9,1.6,169,125,55,1.49,838,Yoga,31.1,2.5,4,2,25.35,Obese,89.4,9.37360179,High
49,Female,69.3,1.62,191,122,62,1.14,626,HIIT,28.8,1.9,4,2,26.41,Obese,68.4,9.152046784,High
42,Female,42.7,1.74,161,130,71,1.04,608,Strength,32.9,1.6,3,1,14.1,Underweight,62.4,9.743589744,High
57,Female,51.4,1.63,183,134,73,1.2,724,Yoga,33.7,2,4,2,19.35,Normal,72,10.05555556,High
18,Female,67.4,1.6,182,164,71,0.6,492,Strength,33.5,2.4,3,1,26.33,Obese,36,13.66666667,Medium
33,Female,55.6,1.61,161,147,54,1.77,1301,Yoga,18.9,2.7,4,3,21.45,Normal,106.2,12.25047081,High
56,Male,125.3,1.86,197,129,64,1,639,Yoga,22.7,2.2,3,2,36.22,Overweight,60,10.65,Medium
22,Male,102.1,1.85,190,157,67,1.48,1278,Cardio,28.1,2.4,4,2,29.83,Obese,88.8,14.39189189,High
39,Male,61.9,1.77,199,166,69,1.32,1205,Strength,25.3,2.3,3,1,19.76,Normal,79.2,15.21464646,High
46,Male,108.8,1.64,185,169,63,1.4,1171,Strength,20.5,3.4,3,1,40.45,Overweight,84,13.94047619,High
20,Female,51.1,1.58,188,169,64,0.5,422,Yoga,29.6,1.6,2,1,20.47,Normal,30,14.06666667,Medium
29,Male,81.7,1.99,162,126,54,1.45,1005,Strength,29.4,3.2,2,1,20.63,Normal,87,11.55172414,High
43,Female,42.7,1.66,173,134,53,0.73,440,Yoga,33.9,1.9,2,1,15.5,Underweight,43.8,10.0456621,Medium
33,Male,81.8,1.99,184,137,51,1.59,1198,Strength,10.5,3.5,4,3,20.66,Normal,95.4,12.55765199,High
54,Male,54.6,1.76,160,137,56,1.28,868,Cardio,27.4,3.3,4,2,17.63,Underweight,76.8,11.30208333,High
39,Male,107.7,1.88,162,160,59,0.72,634,Strength,28.1,3.6,2,1,30.47,Overweight,43.2,14.67592593,Medium
46,Female,56.9,1.6,185,143,65,0.88,566,Cardio,27.7,1.6,3,1,22.23,Normal,52.8,10.71969697,Medium
31,Male,78.8,1.71,177,121,59,1.49,992,HIIT,24.7,2.5,4,2,26.95,Obese,89.4,11.09619687,High
45,Female,48.2,1.64,168,159,67,1.25,894,Strength,32.1,2.5,4,2,17.92,Underweight,75,11.92,High
22,Female,50.7,1.59,197,139,66,1.27,883,Strength,29.4,1.8,3,2,20.05,Normal,76.2,11.58792651,High
47,Male,86.6,1.99,182,153,70,1.98,1500,Strength,10.6,3.5,4,3,21.87,Normal,118.8,12.62626263,High
22,Male,96.3,1.63,180,162,62,1.35,1203,Cardio,27.1,2.4,4,2,36.25,Overweight,81,14.85185185,High
29,Male,80.8,1.98,160,145,50,1.65,1316,Strength,14.6,3.5,5,3,20.61,Normal,99,13.29292929,High
33,Female,58,1.53,180,126,50,1.84,1159,Strength,18.3,2.7,5,3,24.78,Normal,110.4,10.49818841,High
43,Male,95.9,1.85,186,157,64,1.28,995,Yoga,27.7,3.4,2,1,28.02,Obese,76.8,12.95572917,High
43,Female,61.5,1.58,165,149,50,1.86,1247,HIIT,16.8,2.7,5,3,24.64,Normal,111.6,11.17383513,High
38,Female,40.6,1.79,195,161,55,0.62,499,Cardio,26.8,2.7,2,1,12.67,Underweight,37.2,13.41397849,Medium
56,Male,82.5,1.87,187,124,74,1.51,927,Yoga,13.2,3.5,5,3,23.59,Normal,90.6,10.23178808,High
53,Male,105.1,1.84,176,130,62,0.69,444,Cardio,23.3,2.9,3,1,31.04,Overweight,41.4,10.72463768,Medium
50,Female,58.1,1.58,199,120,50,1.93,1042,Yoga,19.3,2.7,5,3,23.27,Normal,115.8,8.998272884,High
47,Female,61,1.76,162,153,54,1.54,1060,HIIT,15.6,2.7,5,3,19.69,Normal,92.4,11.47186147,High
54,Female,64.5,1.53,171,120,58,1.74,940,Yoga,17.2,2.7,4,3,27.55,Obese,104.4,9.003831418,High
40,Male,58.2,1.98,198,138,74,1.43,1085,Cardio,24,2.5,3,2,14.85,Underweight,85.8,12.64568765,High
27,Female,69.5,1.76,171,121,66,0.94,569,Strength,34.4,2,3,1,22.44,Normal,56.4,10.08865248,Medium
22,Male,62.2,1.84,161,140,65,0.51,393,Strength,21.5,2.3,3,1,18.37,Underweight,30.6,12.84313725,Medium
53,Female,68,1.7,181,139,57,1.06,663,HIIT,25.1,2.4,4,2,23.53,Normal,63.6,10.4245283,High
51,Female,56.3,1.5,182,142,66,1.43,914,Cardio,27.4,2.4,3,1,25.02,Obese,85.8,10.65268065,High
48,Male,94.5,1.7,189,140,64,1.01,700,Cardio,28.2,3.5,3,2,32.7,Overweight,60.6,11.55115512,High
27,Female,58,1.79,164,143,73,1.39,994,Cardio,27.1,1.5,2,1,18.1,Underweight,83.4,11.91846523,High
36,Male,84,1.94,168,123,50,1.8,1218,HIIT,11.2,3.5,5,3,22.32,Normal,108,11.27777778,High
49,Male,61,1.87,180,131,61,1.14,739,Strength,21.3,3,4,2,17.44,Underweight,68.4,10.80409357,High
18,Female,64.8,1.53,170,141,54,1.98,1396,Yoga,18.6,2.7,5,3,27.68,Obese,118.8,11.75084175,High
22,Male,45.7,1.77,164,139,73,1.04,795,HIIT,20.7,2.4,3,1,14.59,Underweight,62.4,12.74038462,High
21,Male,80.9,1.9,194,137,55,1.8,1356,Yoga,11.7,3.5,4,3,22.41,Normal,108,12.55555556,High
33,Female,64.1,1.63,186,120,74,1.58,948,Strength,16.4,2.7,5,3,24.13,Normal,94.8,10,High
41,Male,67,1.77,161,149,50,1.22,900,HIIT,25.6,2.6,3,2,21.39,Normal,73.2,12.29508197,High
